Subject,Description,Start Time,End Time,Location,Start Date,End Date
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-03-18,2022-03-18
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-03-25,2022-03-25
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-04-01,2022-04-01
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-04-08,2022-04-08
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-04-15,2022-04-15
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-04-22,2022-04-22
HU 3900 - Inquiry Seminar In Humanities And Arts,HU 3900-D22 - INQ SEM: Writing About Technology Ethics, 9:00 AM , 10:50 AM , Salisbury Labs 226 HUA Seminar Room,2022-04-29,2022-04-29
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-13,2022-01-13
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-17,2022-01-17
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-20,2022-01-20
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-24,2022-01-24
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-27,2022-01-27
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-01-31,2022-01-31
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-03,2022-02-03
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-07,2022-02-07
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-10,2022-02-10
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-14,2022-02-14
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-17,2022-02-17
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-21,2022-02-21
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-24,2022-02-24
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-02-28,2022-02-28
CS 4341 - Introduction To Artificial Intelligence,CS 4341-C01 - Introduction To Artificial Intelligence, 2:00 PM , 3:50 PM , Washburn 229,2022-03-03,2022-03-03
AR 1101 - Digital Imaging And Computer Art,AR 1101-C01 - Digital Imaging And Computer Art, 8:00 AM , 9:50 AM , Fuller Labs 222 IMGD Computer Lab,2022-01-13,2022-01-13
